X,Y,Z
5.9968,-0.004847,0.32108
5.9968,-0.0061062,0.3243
5.9968,-0.0076554,0.3279
5.9968,-0.0077002,0.328
5.9968,-0.0077487,0.32811
5.9968,-0.0094223,0.33201
5.9968,-0.010555,0.33442
5.9968,-0.011547,0.3365
5.9968,-0.014142,0.34155
5.9968,-0.014787,0.34271
5.9968,-0.017475,0.34757
5.9968,-0.019964,0.35162
5.9968,-0.020829,0.35306
5.9968,-0.021765,0.35445
5.9968,-0.025391,0.35969
5.9968,-0.029528,0.36516
5.9968,-0.031065,0.36717
5.9968,-0.033192,0.36972
5.9968,-0.036673,0.37395
5.9968,-0.038699,0.37623
5.9968,-0.044799,0.38286
5.9968,-0.046587,0.38477
5.9968,-0.049668,0.38775
5.9968,-0.056736,0.39475
5.9968,-0.062545,0.40001
5.9968,-0.069223,0.4061
5.9968,-0.076688,0.41244
5.9968,-0.084632,0.41916
5.9968,-0.099329,0.43101
5.9968,-0.10473,0.43535
5.9968,-0.10913,0.43874
5.9968,-0.12423,0.45064
5.9968,-0.13614,0.45978
5.9968,-0.14126,0.46381
5.9968,-0.14589,0.46737
5.9968,-0.15971,0.47806
5.9968,-0.16657,0.48346
5.9968,-0.17635,0.49142
5.9968,-0.1816,0.49909
5.9968,-0.18742,0.50744
5.9968,-0.19417,0.51748
5.9968,-0.19722,0.52202
5.9968,-0.20252,0.53012
5.9968,-0.20601,0.53553
5.9968,-0.20819,0.53897
5.9968,-0.21407,0.54827
5.9968,-0.21995,0.55792
5.9968,-0.22156,0.56059
5.9968,-0.22629,0.56835
5.9968,-0.22869,0.57232
5.9968,-0.06242,0.15146
5.9968,-0.062352,0.15728
5.9968,-0.062077,0.16088
5.9968,-0.061483,0.16672
5.9968,-0.060845,0.17038
5.9968,-0.059298,0.17798
5.9968,-0.058349,0.18151
5.9968,-0.056804,0.18648
5.9968,-0.055687,0.18955
5.9968,-0.053779,0.19415
5.9968,-0.052527,0.19677
5.9968,-0.05013,0.20131
5.9968,-0.048745,0.20358
5.9968,-0.045709,0.20816
5.9968,-0.044223,0.21007
5.9968,-0.040632,0.21449
5.9968,-0.038794,0.21634
5.9968,-0.035124,0.22009
5.9968,-0.031553,0.22314
5.9968,-0.029334,0.22495
5.9968,-0.025671,0.22756
5.9968,-0.023285,0.22912
5.9968,-0.020128,0.231
5.9968,-0.016665,0.23288
5.9968,-0.013247,0.23454
5.9968,-0.011286,0.23538
5.9968,-0.0091658,0.23624
5.9968,-0.0065551,0.23714
5.9968,-0.0044844,0.23785
5.9968,-0.0028508,0.23815
5.9968,0,0.23875
5.9968,0.0043336,0.23787
5.9968,0.0045113,0.23784
5.9968,0.0046499,0.23779
5.9968,0.0086128,0.23642
5.9968,0.010259,0.2358
5.9968,0.013293,0.23447
5.9968,0.015316,0.23357
5.9968,0.017878,0.23216
5.9968,0.020589,0.23074
5.9968,0.023355,0.22907
5.9968,0.025743,0.22751
5.9968,0.029388,0.22489
5.9968,0.031881,0.22285
5.9968,0.035146,0.22007
5.9968,0.038785,0.21635
5.9968,0.04063,0.2145
5.9968,0.044223,0.21007
5.9968,0.045709,0.20816
5.9968,0.048745,0.20358
5.9968,0.05013,0.20131
5.9968,0.052527,0.19677
5.9968,0.053779,0.19415
5.9968,0.055687,0.18955
5.9968,0.056804,0.18648
5.9968,0.058349,0.18151
5.9968,0.059298,0.17798
5.9968,0.060845,0.17038
5.9968,0.061483,0.16672
5.9968,0.062077,0.16089
5.9968,0.062352,0.15728
5.9968,0.062423,0.15153
5.9968,0.062306,0.1472
5.9968,0.06207,0.14288
5.9968,0.061321,0.13669
5.9968,0.060913,0.13342
5.9968,0.060377,0.1308
5.9968,0.059021,0.1241
5.9968,0.057921,0.11993
5.9968,0.056958,0.11663
5.9968,0.054255,0.10877
5.9968,0.054207,0.10864
5.9968,0.049602,0.098294
5.9968,0.048992,0.097072
5.9968,0.044247,0.088298
5.9968,0.042553,0.085502
5.9968,0.038156,0.078692
5.9968,0.035843,0.075412
5.9968,0.032514,0.070947
5.9968,0.028297,0.065646
5.9968,0.026926,0.063942
5.9968,0.022136,0.058502
5.9968,0.02062,0.056796
5.9968,0.01691,0.052842
5.9968,0.015463,0.051302
5.9968,0.012602,0.048383
5.9968,0.010872,0.046609
5.9968,0.009425,0.045177
5.9968,0.0070157,0.042811
5.9968,0.006376,0.042196
5.9968,0.0057056,0.041557
5.9968,0.003372,0.039312
5.9968,0.0018767,0.038427
5.9968,0,0.037287
5.9968,-0.0019606,0.038497
5.9968,-0.0034581,0.039393
5.9968,-0.005707,0.041561
5.9968,-0.0064523,0.042271
5.9968,-0.0080615,0.043838
5.9968,-0.009259,0.045017
5.9968,-0.0099323,0.045701
5.9968,-0.012539,0.048317
5.9968,-0.014984,0.050808
5.9968,-0.01675,0.05267
5.9968,-0.020442,0.056601
5.9968,-0.022049,0.058411
5.9968,-0.027056,0.064092
5.9968,-0.027822,0.065053
5.9968,-0.032508,0.070971
5.9968,-0.035957,0.075566
5.9968,-0.038387,0.079072
5.9968,-0.04139,0.083672
5.9968,-0.044433,0.088755
5.9968,-0.046337,0.091995
5.9968,-0.049643,0.098366
5.9968,-0.050192,0.09946
5.9968,-0.052623,0.10513
5.9968,-0.054428,0.10933
5.9968,-0.054606,0.10976
5.9968,-0.054897,0.1106
5.9968,-0.057672,0.11906
5.9968,-0.059467,0.12603
5.9968,-0.059688,0.12706
5.9968,-0.061109,0.13472
5.9968,-0.061594,0.1388
5.9968,-0.062105,0.14331
5.9968,-0.062317,0.14741
5.9968,-0.06242,0.15146
6.0003,-0.22643,0.57232
6.0003,-0.22421,0.56865
6.0003,-0.21933,0.56062
6.0003,-0.21441,0.55252
6.0003,-0.21185,0.54832
6.0003,-0.2093,0.54428
6.0003,-0.20381,0.53564
6.0003,-0.19512,0.52219
6.0003,-0.19509,0.52214
6.0003,-0.19501,0.52202
6.0003,-0.1853,0.50758
6.0003,-0.18231,0.50329
6.0003,-0.17417,0.49141
6.0003,-0.16831,0.48664
6.0003,-0.15706,0.47779
6.0003,-0.14882,0.47142
6.0003,-0.14003,0.46465
6.0003,-0.1303,0.45699
6.0003,-0.1243,0.45239
6.0003,-0.10508,0.43725
6.0003,-0.10358,0.43609
6.0003,-0.10174,0.43461
6.0003,-0.082668,0.41923
6.0003,-0.078861,0.41601
6.0003,-0.068254,0.407
6.0003,-0.058766,0.39834
6.0003,-0.056685,0.39646
6.0003,-0.054152,0.39395
6.0003,-0.045939,0.38601
6.0003,-0.041176,0.3809
6.0003,-0.038911,0.37844
6.0003,-0.035171,0.37424
6.0003,-0.030772,0.36888
6.0003,-0.029397,0.36716
6.0003,-0.026061,0.3627
6.0003,-0.023688,0.35956
6.0003,-0.02298,0.35854
6.0003,-0.019592,0.35353
6.0003,-0.016551,0.34845
6.0003,-0.016505,0.34837
6.0003,-0.016466,0.3483
6.0003,-0.013689,0.34333
6.0003,-0.012251,0.34058
6.0003,-0.010745,0.33759
6.0003,-0.0096808,0.33532
6.0003,-0.0082367,0.33222
6.0003,-0.0077495,0.33109
6.0003,-0.0067563,0.32878
6.0003,-0.0058032,0.32652
6.0003,-0.0051553,0.32506
6.0003,-0.0046499,0.32391
6.0003,-0.0038147,0.32196
6.0003,-0.0028932,0.31961
6.0003,-0.0027772,0.31948
6.0003,-0.0026486,0.31934
6.0003,0,0.31638
6.0003,0.00097806,0.31773
6.0003,0.0019276,0.31915
6.0003,0.0033549,0.32069
6.0003,0.0046109,0.3238
6.0003,0.0050283,0.3248
