X,Y,Z
-0.054108,0.11904,0.57232
-0.054108,0.10732,0.57232
-0.054108,0.083396,0.57232
-0.054108,0.081456,0.57232
-0.054108,0.079067,0.57232
-0.054108,0.040919,0.57232
-0.054108,0.036399,0.57232
-0.054108,0.0030959,0.57232
-0.054108,0,0.57232
-0.054108,-0.0070937,0.57232
-0.054108,-0.021853,0.57232
-0.054108,-0.049401,0.57232
-0.054108,-0.051053,0.57232
-0.054108,-0.052523,0.57232
-0.054108,-0.08365,0.57232
-0.054108,-0.087179,0.57232
-0.054108,-0.12062,0.57232
-0.054108,-0.13414,0.57232
-0.054108,-0.15236,0.57232
-0.054108,-0.17233,0.57232
-0.054108,-0.18209,0.57232
-0.054108,-0.20857,0.57232
-0.054108,-0.21237,0.57232
-0.054108,-0.24029,0.57232
-0.054108,-0.24292,0.57232
-0.054108,-0.25022,0.57232
-0.054108,-0.27407,0.57232
-0.054108,-0.28131,0.57232
-0.054108,-0.30948,0.57232
-0.054108,-0.31088,0.57232
-0.054108,-0.31671,0.57232
-0.054108,-0.33942,0.57232
-0.054108,-0.34433,0.57232
-0.054108,-0.35786,0.57232
-0.054108,-0.3708,0.57232
-0.054108,-0.37476,0.57232
